id;title;external_id;device_type_id;device_type_title;emtec_code;training_mandatory;software_version;manufacturer_id;manufacturer;end_of_service;end_of_life;ce_marking;ce_notified_body;responsible_5_mpg;according_to_annex;risk_class;active_device;udi_di
5f7b10e0edba93118beab09f;V3C-SX18-A143;;5f7b00adedba93118be9d390;Monitor (Allgemein), TFT;;Ja;;64b653adf5fc38000e51c5b7;NDS Surgical Imaging, LLC.;;;Ja;;NDS European Offices;;I;Ja;
5f7b10e2edba93118beab0bd;V3C-SX19-A171;;5f7b00adedba93118be9d390;Monitor (Allgemein), TFT;;Ja;;64b653adf5fc38000e51c5b7;NDS Surgical Imaging, LLC.;;;Ja;;NDS European Offices;;I;Ja;
5f7b10e0edba93118beab0a4;V3C-SX19-R630;;5f7b00adedba93118be9d390;Monitor (Allgemein), TFT;;Ja;;64b653adf5fc38000e51c5b7;NDS Surgical Imaging, LLC.;;;Ja;;NDS European Offices;;I;Ja;
5f7b10e2edba93118beab0ba;V3C-X15-A14A;;5f7b00adedba93118be9d390;Monitor (Allgemein), TFT;;Ja;;64b653adf5fc38000e51c5b7;NDS Surgical Imaging, LLC.;;;Ja;;NDS European Offices;;I;Ja;
5f7b10e1edba93118beab0b0;V3C-X15-A171;;5f7b00adedba93118be9d390;Monitor (Allgemein), TFT;;Ja;;64b653adf5fc38000e51c5b7;NDS Surgical Imaging, LLC.;;;Ja;;NDS European Offices;;I;Ja;
5f7b10e3edba93118beab0c3;V3C-X15-R13A;;5f7b00adedba93118be9d390;Monitor (Allgemein), TFT;;Ja;;64b653adf5fc38000e51c5b7;NDS Surgical Imaging, LLC.;;;Ja;;Aesculap AG & Co. KG;;I;Ja;
5f7b10e1edba93118beab0a9;V3C-X15-wxyz;;5f7b00adedba93118be9d390;Monitor (Allgemein), TFT;;Ja;;64b653adf5fc38000e51c5b7;NDS Surgical Imaging, LLC.;;;Ja;;NDS European Offices;;I;Ja;
68fb8f31ef04ab9327599e2a;V5Ms;;5f7afff3edba93118be9d1b9;Ultraschallsonde, TEE;;Ja;;5d3ae807a159c577ac4b825b;Siemens Healthcare GmbH;;;Ja;0123;Siemens Healthcare GmbH;;I;Ja;
5f7b10e3edba93118beab0c5;V7898S;;5f7affcaedba93118be9d152;Monitor (Allgemein);;Ja;;64b65390f5fc38000e51c189;ELCAT GmbH;;;Ja;;ELCAT GmbH;;I;Ja;
5f7b10e4edba93118beab0d8;VAC-Absaugeinheit - Atmos;;5f7affa9edba93118be9d102;Absauggerät (ZGV);;Ja;;67920008c017c7ba4e84ea14;ATMOS MedizinTechnik GmbH & Co. KG;;;Ja;;ATMOS MedizinTechnik GmbH & Co. KG;;I;Ja;
5f7b10e7edba93118beab106;VACORA VF2019;;5f7b005bedba93118be9d2bf;Biopsiegerät (elektrisch);;Ja;;64b65387f5fc38000e51c027;Becton Dickinson GmbH;;;Ja;0086;Becton Dickinson GmbH;;I;Ja;
5f7b1100edba93118beab25e;VB 60 C;;5f7affd8edba93118be9d174;Kühlschrank, Medikamente;;Ja;;64b653a3f5fc38000e51c478;Liebherr-International Deutschland GmbH;;;Ja;;Vaust GbR;;I;Ja;
609f41045b7b120188d41c5c;VB04-200;;5f7b0062edba93118be9d2d1;Kühlschrank, Blut;;Ja;;64b65391f5fc38000e51c1b4;EWALD Innovationstechnik AG;;;Ja;0051;EWALD Innovationstechnik AG;;I;Ja;
5f7b1103edba93118beab27c;VC - M27GM (GY);;5f7b0022edba93118be9d230;Video/DVD-Recorder;;Ja;;67c519721e2bbc7b9c5c7a8e;Sharp Corporation;;;Ja;;Sharp Corporation;;I;Ja;
5f7b1106edba93118beab2af;VDW.ULTRA;;5f7b00aeedba93118be9d393;Chirurgiegerät, Ultraschall (US);;Ja;;6762cab5b89414866a65448b;Acteon Group;;;Ja;0459;Acteon Group;;I;Ja;
5f7b110bedba93118beab2f3;VENTIlogic;;60759416355626017eddc758;Beatmungsgerät, Langzeit (mid);;Ja;;65bcb43b4b60dd0e34d897a3;WEINMANN Emergency Medical Technology GmbH + Co. KG;;;Ja;;WEINMANN Emergency Medical Technology GmbH + Co. KG;1;II;Ja;
5f7b1115edba93118beab378;VF-X15-18;;5f7b00adedba93118be9d390;Monitor (Allgemein), TFT;;Ja;;64b653adf5fc38000e51c5b7;NDS Surgical Imaging, LLC.;;;Ja;;NDS European Offices;;I;Ja;
5f7b1126edba93118beab460;VIO 200 S;;5f7affbcedba93118be9d134;Chirurgiegerät, HF, RF;;Ja;;5d3ae80ba159c577ac4b827a;ERBE Elektromedizin GmbH;;;Ja;0124;ERBE Elektromedizin GmbH;1;II;Ja;04050147000230
5f7b1126edba93118beab45c;VIO 3;;5f7affbcedba93118be9d134;Chirurgiegerät, HF, RF;;Ja;;5d3ae80ba159c577ac4b827a;ERBE Elektromedizin GmbH;;;Ja;0124;ERBE Elektromedizin GmbH;1;II;Ja;04050147015685
66db02b526d975dfbc280b80;VIP Philips;;5f7affb3edba93118be9d11c;Sonstiges / Zubehör;;Ja;;679895933b3e52059494d1b9;Philips Medizin Systeme Böblingen GmbH;;;Ja;;;;I;Ja;
606fb718355626017edd7363;VISMO PVM-4761;;5f7afff2edba93118be9d1b7;Pat.-Überw., Monitor Kompakt;;Ja;;64b653aef5fc38000e51c5f2;Nihon Kohden Corporation;;;Ja;2797;Nihon Kohden Deutschland GmbH;1+2;II;Ja;04931921007051
5f7b113bedba93118beab567;VIVID E90;;607594ab0e6791017cdbbef1;Ultraschalldiagnosegerät (low);;Ja;;5d3ae85ca159c577fd9b7375;GE Healthcare Ultraschall Deutschland GmbH;;;Ja;0123;GE Healthcare Ultraschall Deutschland GmbH;;I;Ja;00195278505354
5f7b113eedba93118beab589;VIVID S60;;607594ac355626017eddc768;Ultraschalldiagnosegerät (mid);;Ja;;64b6ce4916691d0024550ac4;GE Medical Systems Israel Ltd.;;;Ja;0459;GE Healthcare GmbH;;I;Ja;00840682120128
5f7b1140edba93118beab599;VM 996;;5f7affcaedba93118be9d152;Monitor (Allgemein);;Ja;;64b653c5f5fc38000e51c92b;Vision Engineering Ltd;;;Ja;;Vision Engineering Ltd;;I;Ja;
68ed1be2fe18649f41e32835;VM-1000;;5f7affa6edba93118be9d0fb;Labor, Mischgerät/Rüttler/Dispergierer;;Ja;;64b655c8f5fc38000e51cdbc;Digisystems Laboratory Instruments Inc.;;;Ja;;Digisystems Laboratory Instruments Inc.;;I;Ja;
5f7b114eedba93118beab638;VP4726;;5f7b00adedba93118be9d390;Monitor (Allgemein), TFT;;Ja;;64b653adf5fc38000e51c5b7;NDS Surgical Imaging, LLC.;;;Ja;;ConMed Linvatec Deutschland GmbH;;I;Ja;
5f7b1153edba93118beab671;VPX 8;;607594af0e6791017cdbbef2;Ultraschallsonde, Doppler;;Ja;;64b65398f5fc38000e51c2d3;HNE Healthcare GmbH;;;Ja;;ArjoHuntleigh GmbH;;I;Ja;05051968032287
680b62105d56e8ada9a7ff00;VS 9;;5f7afff2edba93118be9d1b7;Pat.-Überw., Monitor Kompakt;;Ja;;64b653bbf5fc38000e51c7dd;Shenzhen Mindray Bio-Medical Electronics Co., Ltd.;;;Ja;0123;Shenzhen Mindray Bio-Medical Electronics Co., Ltd.;2;I;Ja;06936415973643
5f7b10eeedba93118beab167;Vamos 2 (Plus);;5f7affd7edba93118be9d172;Pat.-Überw., Atemgas;;Ja;;5d3ae807a159c577ac4b8254;Dräger Medical AG & Co. KGaA;;;Ja;0123;Dräger Medical AG & Co. KGaA;1;II;Ja;04048675227489
5f7b10f4edba93118beab1b1;Varifuge F;;5f7affbcedba93118be9d133;Zentrifuge;;Ja;;5d3ae807a159c577ac4b8257;Heraeus Med GmbH;;;Ja;;Heraeus Med GmbH;;I;Ja;
5f7b10f4edba93118beab1b8;Varifuge GL;;5f7affbcedba93118be9d133;Zentrifuge;;Ja;;6697baac657e813ae6292a03;Heraeus Medical GmbH;;;Ja;;Heraeus Medical GmbH;;I;Ja;
5f7b10f4edba93118beab1b4;Varifuge K;;5f7affbcedba93118be9d133;Zentrifuge;;Ja;;5d3ae807a159c577ac4b8257;Heraeus Med GmbH;;;Ja;;Heraeus Med GmbH;;I;Ja;
5f7b10f7edba93118beab1e4;Varioair 3;;5f7b0045edba93118be9d287;Stimulationsgerät, Temperatur;;Ja;;67920008c017c7ba4e84ea14;ATMOS MedizinTechnik GmbH & Co. KG;;;Ja;0124;ATMOS MedizinTechnik GmbH & Co. KG;1;II;Ja;
5f7b10fbedba93118beab217;Variotherm - Ohrspülgerät;;5f7affbbedba93118be9d130;Saug/Spülpumpe;;Ja;;67920008c017c7ba4e84ea14;ATMOS MedizinTechnik GmbH & Co. KG;;;Ja;;ATMOS MedizinTechnik GmbH & Co. KG;;I;Ja;
